2024-07-16 22:23:54,531: asyncio: INFO: [MLTrader] Executing the initialize lifecycle method
2024-07-16 22:23:56,225: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-07-16 22:23:56,226: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-07-16 22:23:56,228: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-07-16 22:23:56,228: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-07-16 22:23:56,230: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-07-16 22:23:56[0m
2024-07-16 22:23:56,231: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:23:57,755: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,766: asyncio: INFO: [MLTrader] [32mNew order was created: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new[0m
2024-07-16 22:24:00,776: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-07-16 22:24:00[0m
2024-07-16 22:24:00,776: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,776: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,778: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,779: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-07-16 22:24:00,779: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-07-16 22:24:00,779: asyncio: INFO: [MLTrader] [32mOrder was filled: market order of | 106.0 SPY buy | at price $469.49 of class bracket with status fill[0m
2024-07-16 22:24:00,789: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-07-16 22:24:00,791: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-07-16 22:24:00,792: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-07-16 22:24:00,794: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
2024-07-16 22:24:00,795: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,795: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,796: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,797: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,798: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,798: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,801: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,801: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,802: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,803: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,803: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,804: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,806: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-07-16 22:24:00,807: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,807: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,809: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,810: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,810: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,811: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,813: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-07-16 22:24:00,813: asyncio: INFO: [MLTrader] Executing the after_market_closes lifecycle method
2024-07-16 22:24:00,813: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,814: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,815: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,815: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,815: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,818: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,820: root: INFO: Current backtesting datetime 2023-12-18 08:30:00-05:00
2024-07-16 22:24:00,821: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,822: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,824: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-07-16 22:24:00,824: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,824: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,826: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,827: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-07-16 22:24:00,827: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-07-16 22:24:00,828: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
