time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-08-05 09:30:00-04:00,MLTrader,902817c925024b22a0aa9a8d0937d40d,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,73.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,f094c44f293942baa31085545a3e7992,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,1934c5e4f6c1453ab091b4c77eb0f7f3,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,e367d4cdc1894735aea4ca015e5b4e61,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,8dd20943d77e45f4b9d4adb58b545cb1,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,713b9e26b8ae426982cc5486f0b8df14,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,53bcf407918b4d3abb84a53d11699120,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,713b9e26b8ae426982cc5486f0b8df14,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,232.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,53bcf407918b4d3abb84a53d11699120,SPY,buy,market,fill,1,gtc,0.0,1,stock,341.1199951171875,36.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,a546017a78954c759f70c9bc48a88453,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,eea5a0effe9d4d6f81b785eb32879d92,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,e9d8c94a3be4417d8cdd4312761c450d,SPY,sell,stop,fill,1,day,0.0,1,stock,341.510009765625,36.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,a546017a78954c759f70c9bc48a88453,SPY,buy,market,fill,1,gtc,0.0,1,stock,341.510009765625,133.0,0.0
2020-09-16 09:30:00-04:00,MLTrader,a660a8c1fa84439f8a46abd498524b1c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-16 09:30:00-04:00,MLTrader,7122cd76407d420b914af007bca34b08,SPY,sell,stop,fill,1,day,0.0,1,stock,333.55999755859375,133.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,f69f515bbf6d409b8f19066683e9a79a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,f69f515bbf6d409b8f19066683e9a79a,SPY,buy,market,fill,1,gtc,0.0,1,stock,436.010009765625,117.0,0.0
2021-07-17 09:30:00-04:00,MLTrader,0333f2d8ebdb49cfa5a825dbd381254b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-17 09:30:00-04:00,MLTrader,8cbb3271074242f2b84b348af82f14e9,SPY,sell,stop,fill,1,day,0.0,1,stock,436.010009765625,117.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,0bc57f943d7b4bbba04ddab954ec9178,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,0bc57f943d7b4bbba04ddab954ec9178,SPY,buy,market,fill,1,gtc,0.0,1,stock,445.55999755859375,115.0,0.0
2022-01-22 09:30:00-05:00,MLTrader,dcbd61ce5bba48afaea44583cecccfa9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-22 09:30:00-05:00,MLTrader,5f8297b54a8d427fa8295914c46d7b55,SPY,sell,stop,fill,1,day,0.0,1,stock,445.55999755859375,115.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,d04b383935324b5a982b2b0a9065adb9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,d04b383935324b5a982b2b0a9065adb9,SPY,buy,market,fill,1,gtc,0.0,1,stock,431.75,119.0,0.0
2022-03-05 09:30:00-05:00,MLTrader,3f819be47c984ce786dd74a777a708b2,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-03-05 09:30:00-05:00,MLTrader,b05478d1a3f54d3da0f2fa92556b964c,SPY,sell,stop,fill,1,day,0.0,1,stock,431.75,119.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,aa2de3f36d754d78a8a1f80242133c06,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,aa2de3f36d754d78a8a1f80242133c06,SPY,buy,market,fill,1,gtc,0.0,1,stock,438.0,117.0,0.0
2022-03-19 09:30:00-04:00,MLTrader,20c1bfa487b645b487a2f29b80cad441,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-03-19 09:30:00-04:00,MLTrader,e99163555e384180814f4999244c300a,SPY,sell,stop,fill,1,day,0.0,1,stock,438.0,117.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,58bfd37650a9461bbe5d853445790ba6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,58bfd37650a9461bbe5d853445790ba6,SPY,buy,market,fill,1,gtc,0.0,1,stock,451.1600036621094,113.0,0.0
2022-03-25 09:30:00-04:00,MLTrader,9871de26649940adb93ad0703ea7cda2,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-03-25 09:30:00-04:00,MLTrader,99a249705e91446bb6440b0ea34df43c,SPY,sell,stop,fill,1,day,0.0,1,stock,451.1600036621094,113.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,3bb65813b1c645b0945173d15278d952,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,3bb65813b1c645b0945173d15278d952,SPY,buy,market,fill,1,gtc,0.0,1,stock,436.9100036621094,117.0,0.0
2022-04-23 09:30:00-04:00,MLTrader,ed3e09bd748242238516d4b00c974556,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-04-23 09:30:00-04:00,MLTrader,3c2cdb5b6a034024b646754f73808c47,SPY,sell,stop,fill,1,day,0.0,1,stock,436.9100036621094,117.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,bff66b0700f34b11ac41c2334df45d90,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,bff66b0700f34b11ac41c2334df45d90,SPY,buy,market,fill,1,gtc,0.0,1,stock,422.2900085449219,121.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,de87a5f7429c469e9754b586b426c8fe,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,9bbd7c7c1ba744809e571050e55da264,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,43741794efbb4d23b9e03e354e0b3142,SPY,sell,stop,fill,1,day,0.0,1,stock,423.5899963378906,121.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,de87a5f7429c469e9754b586b426c8fe,SPY,buy,market,fill,1,gtc,0.0,1,stock,423.5899963378906,60.0,0.0
2022-04-29 09:30:00-04:00,MLTrader,cec038a096624282b7e3da803fcd0540,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTrader,49d285a19bd54ec1a9bdb20cdab04b64,SPY,sell,stop,fill,1,day,0.0,1,stock,423.5899963378906,60.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,969f27e1d79d4a3c8f71a4799cc0175e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,969f27e1d79d4a3c8f71a4799cc0175e,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.8800048828125,130.0,0.0
2022-06-11 09:30:00-04:00,MLTrader,696ccc8bb414405bb08886951496a414,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-06-11 09:30:00-04:00,MLTrader,0c17b737792f4e159bf6ab7b524602bf,SPY,sell,stop,fill,1,day,0.0,1,stock,394.8800048828125,130.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,02b0d581eb85418c96f2a0c7a65c646d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,02b0d581eb85418c96f2a0c7a65c646d,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,132.0,0.0
2022-07-15 09:30:00-04:00,MLTrader,5b90d629986b47e3865d459916d5b88b,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,2066dc235dba49c2bfaf847256256d9b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,e9037aca96744508bac8724d8baba0a0,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,64622f16865143c1a292a717fabbd59b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTrader,e9037aca96744508bac8724d8baba0a0,SPY,sell,market,fill,1,day,0.0,1,stock,382.54998779296875,132.0,0.0
2022-07-15 09:30:00-04:00,MLTrader,64622f16865143c1a292a717fabbd59b,SPY,buy,market,fill,1,gtc,0.0,1,stock,382.54998779296875,67.0,0.0
2022-07-16 09:30:00-04:00,MLTrader,f00a32c0fcae4e258686d41e255fd6e9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-07-16 09:30:00-04:00,MLTrader,e1d54fda834048aabe61ade55c688573,SPY,sell,stop,fill,1,day,0.0,1,stock,382.54998779296875,67.0,0.0
2022-09-07 09:30:00-04:00,MLTrader,842e76256b7d4556a47fd377249f1ff7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-07 09:30:00-04:00,MLTrader,842e76256b7d4556a47fd377249f1ff7,SPY,buy,market,fill,1,gtc,0.0,1,stock,395.3900146484375,129.0,0.0
2022-09-08 09:30:00-04:00,MLTrader,005fb08047ae4dee9fce66c6a81267a8,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,507c2f8aebb74fc6833508173d187f1f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,616b62d3a15f463488b96f1e654cc51c,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,0963d4880b634e37a0f4311c2eef6ca1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTrader,616b62d3a15f463488b96f1e654cc51c,SPY,sell,market,fill,1,day,0.0,1,stock,402.739990234375,129.0,0.0
2022-09-08 09:30:00-04:00,MLTrader,0963d4880b634e37a0f4311c2eef6ca1,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.739990234375,63.0,0.0
2022-09-12 09:30:00-04:00,MLTrader,12a6ee0cbab9496b91558543223bc8d3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 09:30:00-04:00,MLTrader,12a6ee0cbab9496b91558543223bc8d3,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.8299865722656,96.0,0.0
2022-09-15 09:30:00-04:00,MLTrader,6bc07ba05ada4f1a95e0337abfe8a34a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-15 09:30:00-04:00,MLTrader,a20c69584d0c4e598759fa9157562665,SPY,sell,stop,fill,1,day,0.0,1,stock,382.6029907226562,63.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,466d86a16b48443d99557c9428a0b9e9,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,e2229580b9da45a9a41e188ce849b729,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,199b68b48bd145a794fa51c33a6bfdb5,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,ceff8310c8ad420aa9d8b6cd035f061a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTrader,199b68b48bd145a794fa51c33a6bfdb5,SPY,sell,market,fill,1,day,0.0,1,stock,384.1400146484375,96.0,0.0
2022-09-16 09:30:00-04:00,MLTrader,ceff8310c8ad420aa9d8b6cd035f061a,SPY,buy,market,fill,1,gtc,0.0,1,stock,384.1400146484375,82.0,0.0
2022-09-17 09:30:00-04:00,MLTrader,b41c6a44768541aeac7b7511909e345e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-17 09:30:00-04:00,MLTrader,46b3bcf9cded41b89bfb408f3264e9f6,SPY,sell,stop,fill,1,day,0.0,1,stock,384.1400146484375,82.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,dc10af625acd4a80bfd7c15945e58adb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,dc10af625acd4a80bfd7c15945e58adb,SPY,buy,market,fill,1,gtc,0.0,1,stock,364.3800048828125,137.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,0f0cd3a009e64d74bd6593685dccbeac,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,c9e5e81713144335a8b4279f9206bf30,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,0b47ec44aaa34c79bf08ad0b6f1eae81,SPY,sell,stop,fill,1,day,0.0,1,stock,366.80999755859375,137.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,0f0cd3a009e64d74bd6593685dccbeac,SPY,buy,market,fill,1,gtc,0.0,1,stock,366.80999755859375,68.0,0.0
2022-09-29 09:30:00-04:00,MLTrader,0302d351b6304acba8ee68618b93c35f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-29 09:30:00-04:00,MLTrader,aa1c0b6a31a84be6be687941002c6f29,SPY,sell,stop,fill,1,day,0.0,1,stock,361.79998779296875,68.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,bf1132326d904f1c968c2ae99c5f5ee1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,bf1132326d904f1c968c2ae99c5f5ee1,SPY,buy,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-01-20 09:30:00-05:00,MLTrader,fb584df302e44b1fbb32d7f0b4130af1,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,MLTrader,efc99201bb6b4069b41aca803c890f00,SPY,sell,stop,fill,1,day,0.0,1,stock,390.1000061035156,128.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,78f6ad4e64194a5ca00cc9d09ed45333,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,78f6ad4e64194a5ca00cc9d09ed45333,SPY,buy,market,fill,1,gtc,0.0,1,stock,410.260009765625,122.0,0.0
2023-04-11 09:30:00-04:00,MLTrader,5cac870933df4699846f3d983489e442,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-04-11 09:30:00-04:00,MLTrader,7828b5a336894c3395629f40907709c3,SPY,sell,stop,fill,1,day,0.0,1,stock,411.8699951171875,122.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,49f9fe6248514ab9bb412f149ce10d21,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,49f9fe6248514ab9bb412f149ce10d21,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,e6866477849f461f94d92823be9774ea,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,26ec91c0fd414c5ba26862fd136c834a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,6eb2eefe1ab649aa81c19e08637d27cc,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,abc6d934dbb444ba968cf0e1ac811d07,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
